Voltage_2,Current_2,,
2.93E+00,4.48E-02,,
2.92E+00,5.13E-02,,
2.91E+00,6.81E-02,,
2.90E+00,9.93E-02,,
2.89E+00,1.04E-01,,
2.89E+00,9.93E-02,,
2.88E+00,1.13E-01,,
2.87E+00,1.33E-01,,
2.86E+00,1.54E-01,,
2.85E+00,1.66E-01,,
2.85E+00,1.73E-01,,
2.84E+00,1.80E-01,,
2.84E+00,1.74E-01,,
2.83E+00,1.75E-01,,
2.83E+00,1.87E-01,,
2.83E+00,1.89E-01,,
2.82E+00,1.84E-01,,
2.81E+00,1.50E-01,,
2.80E+00,1.17E-01,,
2.79E+00,6.73E-02,,
2.78E+00,6.91E-02,,
2.78E+00,8.90E-02,,
2.77E+00,1.08E-01,,
2.77E+00,1.04E-01,,
2.77E+00,1.30E-01,,
2.76E+00,1.56E-01,,
2.76E+00,1.89E-01,,
2.75E+00,2.41E-01,,
2.75E+00,2.99E-01,,
2.74E+00,3.44E-01,,
2.74E+00,3.89E-01,,
2.73E+00,4.20E-01,,
2.73E+00,4.25E-01,,
2.72E+00,4.30E-01,,
2.72E+00,4.25E-01,,
2.71E+00,4.16E-01,,
2.71E+00,4.08E-01,,
2.71E+00,3.87E-01,,
2.70E+00,3.41E-01,,
2.69E+00,2.83E-01,,
2.68E+00,1.71E-01,,
2.67E+00,7.82E-02,,
2.66E+00,8.02E-02,,
2.65E+00,1.62E-01,,
2.65E+00,2.52E-01,,
2.64E+00,3.17E-01,,
2.64E+00,4.04E-01,,
2.64E+00,3.91E-01,,
2.62E+00,5.56E-01,,
2.62E+00,5.81E-01,,
2.62E+00,5.87E-01,,
2.62E+00,5.48E-01,,
2.63E+00,4.86E-01,,
2.64E+00,3.88E-01,,
2.63E+00,4.56E-01,,
2.63E+00,5.30E-01,,
2.62E+00,5.52E-01,,
2.62E+00,5.96E-01,,
2.61E+00,5.87E-01,,
2.61E+00,5.96E-01,,
2.61E+00,5.99E-01,,
2.60E+00,5.50E-01,,
2.60E+00,5.19E-01,,
2.60E+00,5.14E-01,,
2.60E+00,5.56E-01,,
2.60E+00,5.77E-01,,
2.60E+00,5.97E-01,,
2.60E+00,5.90E-01,,
2.61E+00,5.73E-01,,
2.61E+00,5.48E-01,,
2.61E+00,5.82E-01,,
2.60E+00,5.44E-01,,
2.59E+00,5.12E-01,,
2.59E+00,4.01E-01,,
2.58E+00,3.10E-01,,
2.57E+00,2.08E-01,,
2.57E+00,1.39E-01,,
2.56E+00,8.40E-02,,
2.56E+00,4.77E-02,,
2.56E+00,6.83E-02,,
2.55E+00,1.02E-01,,
2.54E+00,1.61E-01,,
2.54E+00,1.90E-01,,
2.53E+00,2.70E-01,,
2.53E+00,2.99E-01,,
2.52E+00,3.47E-01,,
2.51E+00,3.77E-01,,
2.51E+00,4.26E-01,,
2.50E+00,4.54E-01,,
2.50E+00,4.56E-01,,
2.50E+00,4.52E-01,,
2.50E+00,4.77E-01,,
2.50E+00,4.61E-01,,
2.50E+00,4.60E-01,,
2.51E+00,4.44E-01,,
2.51E+00,4.08E-01,,
2.50E+00,4.48E-01,,
2.50E+00,4.39E-01,,
2.50E+00,4.39E-01,,
2.49E+00,4.52E-01,,
2.49E+00,4.26E-01,,
2.48E+00,3.86E-01,,
2.48E+00,3.30E-01,,
2.47E+00,2.79E-01,,
2.47E+00,2.12E-01,,
2.46E+00,1.09E-01,,
2.45E+00,6.36E-02,,
2.44E+00,7.35E-02,,
2.43E+00,1.15E-01,,
2.43E+00,1.39E-01,,
2.42E+00,1.65E-01,,
2.41E+00,1.96E-01,,
2.41E+00,1.89E-01,,
2.40E+00,2.26E-01,,
2.39E+00,2.15E-01,,
2.38E+00,2.09E-01,,
2.38E+00,2.11E-01,,
2.37E+00,2.04E-01,,
2.37E+00,1.98E-01,,
2.37E+00,1.81E-01,,
2.36E+00,1.59E-01,,
2.36E+00,1.39E-01,,
2.35E+00,1.13E-01,,
2.34E+00,8.42E-02,,
2.34E+00,6.40E-02,,
2.33E+00,7.72E-02,,
2.32E+00,1.78E-01,,
